GeneID,Cor,P
AT3G13900,0.510470042,0
AT5G50850,0.510463009,0
AT1G03660,0.510380623,0
AT1G25550,0.510350984,0
AT1G28280,0.510310796,0
AT5G10790,0.510170137,0
AT4G10970,0.510165616,0
AT4G36430,0.510076699,0
AT1G68765,0.510072178,0
AT1G70420,0.5100556,0
AT1G33610,0.509926998,0
AT3G49800,0.509877767,0
AT5G39785,0.509640657,0
AT3G09440,0.509136797,0
AT5G47850,0.509079529,0
AT3G04240,0.508968508,0
AT4G03310,0.508649514,0
AT4G36700,0.508616861,0
AT1G71800,0.508300881,0
AT3G03560,0.508194382,0
AT4G14368,0.508042672,0
AT1G21250,0.507858308,0
AT5G19250,0.507814604,0
AT5G38470,0.507614667,0
AT3G14225,0.507383082,0
AT1G34260,0.507368012,0
AT1G58590,0.507336866,0
AT2G44520,0.507173601,0
AT2G21850,0.506997275,0
AT5G13180,0.506869678,0
AT1G49000,0.506852598,0
AT5G15470,0.506695361,0
AT3G51860,0.506513509,0
AT3G20340,0.506457246,0
AT2G19710,0.506395959,0
AT1G53310,0.506388926,0
AT1G66090,0.506385912,0
AT3G51890,0.506151313,0
AT1G06890,0.505731848,0
AT3G12620,0.505676589,0
AT3G56710,0.505480169,0
AT1G56550,0.505398788,0
AT5G10750,0.505314393,0
AT5G52750,0.505310374,0
AT3G03110,0.50511747,0
AT5G46950,0.505109935,0
AT3G01830,0.504964755,0
AT5G45100,0.50492959,0
AT1G65845,0.504665353,0
AT1G67270,0.504507614,0
AT1G73965,0.504479984,0
AT4G13510,0.504402622,0
AT1G53620,0.5043765,0
AT1G14550,0.504356405,0
AT4G11000,0.504175558,0
AT1G20630,0.504142403,0
AT2G24360,0.504074585,0
AT3G05840,0.503955528,0
AT1G58420,0.503902781,0
AT2G27600,0.503810348,0
AT2G25110,0.503746549,0
AT3G58030,0.503700835,0
AT2G46500,0.503440113,0
AT5G16440,0.503325577,0
AT3G24900,0.503220585,0
AT1G72060,0.503205515,0
AT4G22910,0.502841811,0
AT5G04781,0.502625799,0
AT4G00955,0.50261324,0
AT2G03760,0.502295753,0
AT5G49570,0.502078737,0
AT1G12000,0.501982787,0
AT2G20320,0.501958172,0
AT3G10500,0.501794907,0
AT5G24810,0.501542726,0
AT5G13485,0.501444265,0
AT5G45900,0.501327719,0
AT3G51660,0.50108458,0
AT5G16300,0.500688224,0
AT2G32680,0.500334567,0
AT4G16600,0.499893501,0
AT1G24150,0.49955592,0
AT2G27200,0.499379092,0
AT4G13918,0.499329861,0
AT3G47780,0.49931479,0
AT4G27830,0.499046032,0
AT4G23140,0.49892195,0
AT1G36620,0.498869203,0
AT3G63460,0.498757681,0
AT5G06640,0.498550712,0
AT3G05230,0.498461795,0
AT5G57010,0.498429142,0
AT4G00330,0.498239755,0
AT3G49370,0.498190022,0
AT5G46040,0.498124214,0
AT2G38290,0.497953414,0
AT2G40730,0.497535456,0
AT5G66850,0.497444028,0
AT1G59860,0.497216462,0
AT5G04930,0.49712855,0
AT3G59880,0.496765349,0
AT3G03440,0.496585004,0
AT1G29860,0.496450374,0
AT5G39670,0.496434801,0
AT5G21990,0.496171568,0
AT2G41830,0.496099229,0
AT5G14420,0.495961082,0
AT1G16160,0.495950532,0
AT5G24090,0.495937471,0
AT2G45210,0.495738037,0
AT3G49210,0.495511476,0
AT1G71880,0.495474302,0
AT2G39840,0.495371822,0
AT2G32200,0.495355746,0
AT3G57460,0.49526482,0
AT3G29034,0.495169373,0
AT1G55230,0.495064884,0
AT5G11860,0.494888056,0
AT4G39670,0.494614776,0
AT5G52580,0.494585639,0
AT4G24040,0.494529878,0
AT5G62540,0.494403787,0
AT5G26340,0.494371637,0
AT4G29520,0.49433396,0
AT5G51830,0.494203348,0
AT4G23610,0.494192297,0
AT3G11650,0.494175719,0
AT2G31270,0.493971764,0
AT4G11380,0.493792926,0
AT1G67970,0.493779865,0
AT3G26470,0.493760273,0
AT4G25672,0.493727118,0
AT1G55730,0.493718075,0
AT1G77810,0.493701498,0
AT1G61560,0.493665328,0
AT2G21470,0.493588971,0
AT1G51350,0.493511106,0
AT4G16660,0.493477448,0
AT4G19180,0.493365926,0
AT5G44290,0.493330761,0
AT1G23010,0.493034373,0
AT5G66070,0.49295902,0
AT2G25090,0.492805802,0
AT2G14620,0.492753558,0
AT5G41750,0.492727435,0
AT5G66890,0.492320529,0
AT5G66690,0.492227594,0
AT5G62180,0.492169321,0
AT5G58620,0.492059808,0
AT4G26910,0.491757894,0
AT1G66710,0.49169309,0
AT1G11200,0.491676513,0
AT5G67540,0.491586089,0
AT4G08470,0.491113375,0
AT5G20020,0.491073689,0
AT2G42360,0.491068163,0
AT2G44370,0.490821508,0
AT3G14770,0.490441729,0
AT2G01600,0.490274948,0
AT2G26400,0.490199093,0
AT1G25280,0.490190553,0
AT3G19250,0.490041856,0
AT2G41780,0.489945907,0
