GeneID,Cor,P
AT1G51630,-0.552265311,0
AT5G65020,-0.552285907,0
AT1G06550,-0.552449172,0
AT3G01690,-0.552465247,0
AT1G24764,-0.552666188,0
AT2G01220,-0.552859092,0
AT5G02670,-0.552901792,0
AT4G34881,-0.552998244,0
AT5G20510,-0.553299153,0
AT5G51970,-0.553480503,0
AT1G56090,-0.553498587,0
AT2G31585,-0.553643265,0
AT5G05550,-0.553663862,0
AT4G37300,-0.55390047,0
AT3G60910,-0.554394785,0
AT4G39350,-0.554408349,0
AT5G44650,-0.554806212,0
AT5G64350,-0.554815255,0
AT3G16000,-0.554834846,0
AT4G01995,-0.555103605,0
AT2G44920,-0.555142789,0
AT1G24070,-0.555180465,0
AT3G33520,-0.555230701,0
AT2G23672,-0.555244264,0
AT3G58610,-0.555270889,0
AT4G17050,-0.555299021,0
AT5G13120,-0.555357796,0
AT1G33040,-0.555627559,0
AT4G36980,-0.555725518,0
AT4G02770,-0.555928971,0
AT2G22980,-0.556083194,0
AT3G11500,-0.556195218,0
AT3G10350,-0.556258013,0
AT2G03550,-0.55630021,0
AT2G20550,-0.556312267,0
AT3G06430,-0.556360493,0
AT5G14970,-0.556390131,0
AT5G64860,-0.556512706,0
AT1G36320,-0.556514715,0
AT4G16400,-0.556783474,0
AT4G23400,-0.556877414,0
AT3G52380,-0.556891982,0
AT5G43330,-0.556976377,0
AT5G27860,-0.557015561,0
AT1G11440,-0.55707735,0
AT2G35370,-0.557106487,0
AT5G53080,-0.557319987,0
AT1G80570,-0.557331541,0
AT5G62890,-0.55735063,0
AT3G61080,-0.557457632,0
AT3G43790,-0.557460143,0
AT1G47340,-0.557662089,0
AT1G09140,-0.55771986,0
AT3G22960,-0.557773612,0
AT4G38690,-0.557823847,0
AT5G22340,-0.557920299,0
AT5G08400,-0.558163438,0
AT1G52150,-0.558189058,0
AT1G73380,-0.558190565,0
AT3G05520,-0.558202119,0
AT1G52590,-0.558400046,0
AT5G04810,-0.558427675,0
AT5G04750,-0.558460831,0
AT5G53420,-0.558475901,0
AT1G70100,-0.558897375,0
AT3G17170,-0.559036527,0
AT1G03630,-0.559092288,0
AT1G51730,-0.559151064,0
AT4G01310,-0.559354014,0
AT1G58290,-0.559492664,0
AT4G01593,-0.559554453,0
AT3G13120,-0.559864405,0
AT4G20360,-0.560022646,0
